,,,,,,,,,,,,,,,,,
,Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
,2021 Acura RDX,44505,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
,2022 Acura MDX,56405,SUV,7,Gasoline,290,11.2,AWD,5000,513,38.5,41.6,38.5,60.3,70,0,625
,2021 Acura ILX,30805,Sedan,5,Gasoline,201,8.6,FWD,0,350,38,42.3,34,53.5,50,0,581
,2022 Acura NSX,221500,Coupe,2,Hybrid,600,11,AWD,0,110,38.3,42.9,0,0,59,1.3,539
,2021 Acura TLX,44105,Sedan,5,Gasoline,272,9.8,AWD,0,382,37.2,42.5,34.9,55,60,0,612
,2022 Alfa Romeo Giulia,55995,Sedan,5,Gasoline,280,9.2,AWD,0,,38.6,42.4,35.1,53.6,57,0,620
,2022 Alfa Romeo Stelvio,57595,SUV,5,Gasoline,280,9.6,AWD,3000,525,40.2,36.6,31.9,56.0,63,0,656
,2022 Aston Martin DB11,236500,Coupe,4,Gasoline,527,11.6,RWD,0,,,,,,78,0,675
,2022 Aston Martin DBS,363800,Coupe,4,Gasoline,715,13.8,RWD,0,,,,,,78,0,564
,2022 Aston Martin DBX,203500,SUV,5,Gasoline,542,15.2,AWD,6000,694,,,,,85,0,559
,2022 Aston Martin Vantage,159900,Coupe,2,Gasoline,503,11.5,RWD,0,,,,0,0,73,0,634
,2022 Audi Q5,47500,SUV,5,Hybrid,261,9.5,AWD,4400,757,41.7,41,37.8,56.5,70,0.5,741
,2022 Audi Q3,38400,SUV,5,Gasoline,184,9.2,AWD,0,672,41.5,40,36.1,55.1,60,0,653
,2022 Audi A3,38900,Sedan,5,Hybrid,201,7.7,AWD,0,309,36.8,41.2,35.2,53,55,0.5,719
,2022 Audi A4,43300,Sedan,5,Hybrid,201,8.2,AWD,0,368,40.9,41.3,35.2,56.9,58,0.5,712
,2022 Audi A4 allroad,50700,Wagon,5,Hybrid,261,9.0,AWD,0,680,40.9,41.3,35.2,54.4,58,0.5,648
,2022 Audi A5,55300,Coupe,4,Hybrid,261,8.8,AWD,0,465,39.6,41.3,35.1,54.3,58,0.5,658
,2022 Audi A5 Sportback,51500,Hatchback,4,Hybrid,261,8.8,AWD,0,618,40,41.3,35.1,57,58,0.5,658
,2022 Audi A6,65000,Sedan,5,Hybrid,261,9.2,AWD,0,,41.5,,,57.8,75,0.5,816
,2022 Audi A6 Allroad,78500,Wagon,5,Hybrid,335,10.6,AWD,0,,41.5,41.3,37.4,56.5,73,0.5,690
,2022 Audi A7,81700,Hatchback,5,Hybrid,335,9.7,AWD,0,705,40.4,41.3,37.0,58.7,73,0.5,754
,2021 Audi A8,99900,Sedan,5,Hybrid,335,11.5,AWD,0,354,41.4,41.5,44.3,61.1,82,0.5,713
,2022 Audi e-tron,86600,SUV,5,Electric,360,3.0,AWD,4000,660,39.8,40.8,39.1,60.0,0,95,357
,2022 Audi e-tron GT,129900,Sedan,5,Electric,522,2.9,AWD,0,350,39.4,41.9,32.2,57.1,0,93.4,383
,2022 Audi e-tron Sportback,89100,Hatchback,5,Electric,402,3.1,AWD,4000,770,41.2,,,60.0,0,95,351
,2022 Audi Q4 e-tron,59950,SUV,5,Electric,295,2.5,AWD,2650,701,41.8,,,55.2,0,82,388
,2022 Audi Q4 e-tron Sportback,67600,Hatchback,5,Electric,295,2.5,AWD,2650,,41.8,,,55.2,0,82,388
,2022 Audi Q5 Sportback,56300,Hatchback,5,Hybrid,261,9.5,AWD,4400,757,41.7,41.0,37.8,59.1,70,0.5,741
,2022 Audi Q7,69200,SUV,7,Gasoline,248,11.4,AWD,4400,419,42.2,41.7,38.8,61.5,85,0,748
,2022 Audi Q8,84100,SUV,5,Hybrid,335,11.8,AWD,1500,419,41.1,41.7,40.2,58.5,85,0.5,722
,2022 Audi R8,170250,Coupe,2,Gasoline,562,13.8,RWD,0,227,38.5,,0,0,73,0,529
,2022 Audi RS5,87900,Coupe,4,Gasoline,444,11.4,AWD,0,329,39.6,,,54.3,58,0,510
,2022 Audi RS5 Sportback,88400,Hatchback,5,Gasoline,444,11.4,AWD,0,329,40.0,41.3,35.1,57.0,58,0,507
,2022 Audi RS6 Avant,123200,Wagon,5,Hybrid,591,13.7,AWD,0,565,41.5,,,56.5,75,0.5,548
,2022 Audi RS7,129000,Hatchback,5,Hybrid,591,13.5,AWD,0,705,40.4,41.3,37.0,58.7,73,0.5,540
,2022 Audi RS e-tron GT,179900,Sedan,5,Electric,637,3.0,AWD,0,350,39.4,41.9,32.2,57.1,0,93.4,373
,2022 Audi RS Q8,129300,SUV,5,Hybrid,591,15.4,AWD,7700,419,41.1,41.7,40.2,58.5,85,0.5,551
,2022 Audi S3 ,47900,Sedan,5,Gasoline,306,8.7,AWD,0,235,36.8,41.2,35.2,53.0,55,0,629
,2022 Audi S4,61100,Sedan,5,Gasoline,349,10.1,AWD,0,368,40.9,41.3,35.2,56.9,58,0,572
,2022 Audi S5,65100,Coupe,4,Gasoline,349,9.7,AWD,0,450,39.6,,,54.3,58,0,598
,2022 Audi S5 Sportback,65600,Hatchback,5,Gasoline,349,9.7,AWD,0,468,40.0,41.3,35.1,57.0,58,0,598
,2022 Audi S6,94200,Sedan,5,Hybrid,444,10.9,AWD,0,530,41.5,,,56.5,75,0.5,686
,2022 Audi S7,104100,Hatchback,5,Hybrid,444,10.9,AWD,0,694,40.4,41.3,37.0,58.7,73,0.5,669
,2021 Audi S8,153200,Sedan,5,Hybrid,563,14.5,AWD,0,354,41.4,41.5,44.3,61.1,82,0.5,567
,2022 Audi SQ5,66250,SUV,5,Gasoline,349,11.2,AWD,4400,757,41.7,41.0,37.8,59.1,70,0,623
,2022 Audi SQ5 Sportback,68450,Hatchback,5,Gasoline,349,11.7,AWD,4400,725,41.7,41.0,37.8,59.1,70,0,600
,2022 Audi SQ7,106900,SUV,7,Gasoline,500,13.9,AWD,7700,419,42.2,41.7,38.8,61.5,85,0,610
,2022 Audi SQ8,112400,SUV,5,Gasoline,500,13.9,AWD,7700,419,41.1,41.7,40.2,58.5,85,0,610
,2022 Audi TT,59700,Coupe,4,Gasoline,228,9.3,AWD,0,340,39.1,41.1,28.9,47.9,55,0,589
,2022 Audi TT RS,78900,Coupe,4,Gasoline,394,10.1,AWD,0,340,39.1,41.1,28.9,47.9,55,0,546
,2022 Audi TT S,70300,Coupe,4,Gasoline,288,10.0,AWD,0,340,39.1,41.1,28.9,47.9,55,0,550
,2022 Bentley Bentayga,227000,SUV,5,Gasoline,542,13.2,AWD,2000,484,,,,,85,0,646
,2021 Bentley Continental GT ,227290,Coupe,4,Gasoline,542,12.4,AWD,0,,,,,,90,0,726
,2021 Bentley Flying Spur ,215600,Sedan,5,Gasoline,542,13.7,AWD,0,,,,,,90,0,655
,2022 BMW X3,52990,SUV,5,Gasoline,248,9.3,AWD,4400,550,41.1,40.3,36.4,56.0,65,0,699
,2022 BMW X5 ,77500,SUV,5,Gasoline,335,10.4,AWD,6000,650,40.7,39.8,37.4,58.1,83,0,798
,2022 BMW 3 Series,44990,Sedan,5,Hybrid,288,3.1,RWD,0,481,38.7,42.0,35.2,54.6,40,12.0,486
,2022 BMW 2 Series ,51400,Sedan,5,Gasoline,301,9.2,AWD,0,430,38.2,41.4,34.4,53.1,50,0,543
,2022 BMW 4 Series,53150,Coupe,4,Gasoline,255,8.7,AWD,0,340,38.0,41.8,34.5,51.0,59,0,679
,2022 BMW 5 Series,64800,Sedan,5,Gasoline,248,8.9,AWD,0,530,38.8,41.4,36.5,55.9,68,0,764
,2022 BMW 7 Series,120800,Sedan,5,Gasoline,523,12.4,AWD,0,515,39.7,41.4,38.6,57.8,78,0,627
,2022 BMW 8 Series,117900,Sedan,5,Gasoline,523,12.4,AWD,0,440,40.6,42.1,36.6,54.6,68,0,547
,2021 BMW i3,44950,Hatchback,4,Electric,170,3,RWD,0,,39.6,40.5,31.9,49.2,0,42.2,160
,2022 BMW i4,54990,Hatchback,5,Electric,340,3,RWD,0,283,38.2,41.5,34.2,54.3,0,83.9,475
,2021 BMW M2 ,72000,Coupe,4,Gasoline,405,11.7,RWD,0,390,40.1,41.5,33.0,53.4,52,0,443
,2022 BMW M3,86800,Sedan,5,Gasoline,473,12.6,RWD,0,368,40.6,41.6,35.6,54.6,59,0,
,2022 BMW M4 Convertible,102900,Convertible,4,Gasoline,503,,AWD,0,255,40.6,41.8,32.5,45.5,59,0,
,2022 BMW M4 Coupe,85100,Coupe,4,Gasoline,473,,RWD,0,340,40.3,41.7,34.7,51.0,59,0,
,2022 BMW M5,125700,Sedan,5,Gasoline,617,13.8,AWD,0,530,39.2,41.4,36.5,55.9,76,0,551
,2022 BMW M8 Convertible,167600,Convertible,4,Gasoline,617,13.8,AWD,0,351,38.9,42.1,29.5,45.7,76,0,551
,2022 BMW M8 Coupe,158100,Coupe,4,Gasoline,617,13.8,AWD,0,420,38.9,42.1,29.5,46.9,76,0,551
,2022 BMW M8 Gran Coupe,154500,Sedan,5,Gasoline,617,13.8,AWD,0,440,40.6,42.1,36.6,54.6,76,0,553
,2021 BMW X1,42425,SUV,5,Gasoline,228,9.1,AWD,1100,505,41.9,40.4,37,55.2,61,0,667
,2022 BMW X2,44950,SUV,5,Gasoline,228,8.8,AWD,1100,612,39.8,40.3,36.7,53.9,61,0,693
,2022 BMW X3 M,91000,SUV,5,Gasoline,503,14.6,AWD,4400,812,40.7,40.3,36.4,56,65,0,445
,2022 BMW X4,56500,SUV,5,Gasoline,248,9.3,AWD,4400,671,39.5,40.7,35.5,56,65,0,699
,2022 BMW X4 M,95400,SUV,5,Gasoline,503,14.6,AWD,4400,525,39.5,40.7,35.5,56,65,0,445
,2022 BMW X5 M,133900,SUV,5,Gasoline,617,15.7,AWD,6000,960,40.7,39.8,37.4,58.1,83,0,529
,2022 BMW X6,85100,SUV,5,Gasoline,335,10.5,AWD,6000,776,39.3,40.4,35.7,57.7,83,0,790
,2022 BMW X6 M,137000,SUV,5,Gasoline,617,15.7,AWD,6000,580,39.3,40.4,35.7,57.7,83,0,529
,2022 BMW X7,105000,SUV,7,Gasoline,335,11.1,AWD,6000,300,41.9,39.8,37.6,58.1,83,0,748
,2022 BMW Z4,63900,Convertible,2,Gasoline,255,8.5,RWD,0,281,38.9,42.2,0,0,52,0,612
,2022 Buick Encore GX,26198,SUV,5,Gasoline,137,8.0,FWD,1000,665,39.7,40.9,36.0,53.6,50,0,625
,2022 Buick Envision,35698,SUV,5,Gasoline,228,8.9,FWD,1500,714,39.6,40.4,39.3,55.9,60,0,674
,2022 Buick Enclave,48098,SUV,7,Gasoline,310,11.3,FWD,1800,668,42.6,41.2,38.3,61.7,72,0,640
,2022 Buick Encore,24998,SUV,5,Gasoline,155,8.6,FWD,1000,532,39.6,40.8,35.7,52.5,53,0,616
,2022 Cadillac XT5,44298,SUV,5,Gasoline,235,9.5,FWD,1000,850,39.7,41.2,39.0,56.3,72,0,759
,2022 Cadillac Escalade,90498,SUV,7,Gasoline,420,14.8,AWD,8000,722,42.3,44.5,41.7,64.6,91,0,615
,2022 Cadillac CT4,37598,Sedan,5,Gasoline,235,8.7,RWD,0,303,38.3,42.4,33.4,53.9,64,0,736
,2022 Cadillac CT5,41498,Sedan,5,Gasoline,237,9.0,RWD,0,337,39.0,42.4,37.9,55.7,66,0,733
,2022 Cadillac Escalade ESV,93998,SUV,7,Gasoline,420,14.8,AWD,7900,1175,42.3,44.5,41.7,64.6,107,0,723
,2021 Cadillac XT4,36098,SUV,5,Gasoline,235,9.0,FWD,3500,637,39.4,44.1,39.5,55.1,60,0,670
,2022 Cadillac XT6,57998,SUV,7,Gasoline,235,10.2,AWD,1000,357,39.8,41.2,39.1,57.4,83,0,816
,2021 Chevrolet Silverado 1500,32048,Pickup,3,Gasoline,285,13.5,RWD,9800,0,43.1,44.5,0,0,129,0,956
,2022 Chevrolet Equinox,26498,SUV,5,Gasoline,170,8.4,FWD,1500,847,40,40.9,39.9,55.5,56,0,669
,2022 Chevrolet TrailBlazer,23998,SUV,5,Gasoline,137,7.8,FWD,1000,717,40,40.9,39.4,53.8,50,0,641
,2022 Chevrolet Spark,10398,Hatchback,4,Gasoline,98,7.2,FWD,0,314,39,41.7,33,49.8,35,0,487
,2022 Chevrolet Bolt EUV,40198,SUV,5,Electric,200,2,FWD,0,462,40,44.3,38.4,52,0,65,383
,2022 Chevrolet Bolt EV,38198,Hatchback,5,Electric,200,2,FWD,0,470,40.1,44.3,35.6,52.8,0,65,383
,2022 Chevrolet Colorado,27948,Pickup,4,Gasoline,200,10.9,RWD,7000,0,41.4,45,28.6,57.3,79,0,725
,2022 Chevrolet Traverse,39498,SUV,8,Gasoline,310,11.8,AWD,5000,651,42.8,44.5,44.3,62.2,82,0,695
,2022 Chevrolet Tahoe,57748,SUV,8,Gasoline,355,13.2,RWD,8600,722,42.3,44.5,42,64.8,91,0,689
,2022 Chevrolet Blazer,37498,SUV,5,Gasoline,228,9.4,FWD,1500,864,39.8,41,39.6,58.6,73,0,777
,2022 Chevrolet Camaro,29598,Coupe,4,Gasoline,275,10.1,RWD,0,258,38.5,43.9,,,72,0,713
,2022 Chevrolet Corvette ,70998,Convertible,2,Gasoline,490,12.4,RWD,0,357,37.9,42.8,0,0,70,0,565
,2021 Chevrolet Express 2500,46448,Van,12,Gasoline,286,,RWD,9600,2608,38.4,41.3,36.3,68.6,117,0,
,2021 Chevrolet Express Cargo 2500,40648,Van,2,Gasoline,286,,RWD,10000,6780,40.9,41.3,0,0,117,0,
,2022 Chevrolet Malibu,25598,Sedan,5,Gasoline,160,7.5,FWD,0,445,39.1,41.5,38.1,57.1,60,0,802
,2022 Chevrolet Silverado 1500 Long Box,32648,Pickup,3,Gasoline,310,,RWD,9900,0,43.1,44.5,0,0,129,0,
,2022 Chevrolet Silverado 2500HD,45048,Pickup,3,Gasoline,401,,RWD,18510,0,43.1,44.5,0,0,136,0,
,2022 Chevrolet Silverado 3500HD,47048,Pickup,3,Gasoline,401,,RWD,21500,0,43.1,44.5,0,0,136,0,
,2022 Chevrolet Suburban LS,60748,SUV,8,Gasoline,355,13.2,RWD,8300,1175,42.3,44.5,42,64.8,106,0,803
,2022 Chevrolet Trax 1LS,22098,SUV,5,Gasoline,138,8.4,FWD,1300,530,39.6,40.8,35.7,52.8,53,0,629
,2022 Chrysler Grand Caravan,44295,Van,7,Gasoline,287,10.6,FWD,3600,915,40.2,41.1,36.6,63.1,71,0,670
,2022 Chrysler Pacifica,50095,Van,7,Gasoline,287,10.6,FWD,3600,915,40.2,41.1,36.6,63.1,71,0,670
,2022 Chrysler Pacifica Hybrid ,54995,Van,7,Hybrid,260,2.9,FWD,3600,915,40.2,41.1,36.6,63.1,62,16,784
,2021 Chrysler 300,45945,Sedan,5,Gasoline,292,10.3,RWD,0,460,38.6,41.8,40.1,57.7,70,0,680
,2021 Dodge Challenger,37165,Coupe,5,Gasoline,303,10.3,RWD,0,459,39.3,42,33.1,53.9,70,0,680
,2021 Dodge Charger,40665,Sedan,5,Gasoline,292,10.3,RWD,0,467,38.6,41.8,40.1,58,70,0,680
,2021 Dodge Durango,50795,SUV,7,Gasoline,295,11.3,AWD,6200,487,39.9,40.4,38.6,50.4,93,0,823
,2022 Ferrari 812 Competizione,525000,Coupe,2,Gasoline,818,20.2,RWD,0,300,,,0,0,92,0,455
,2021 Ferrari 812 GTS,469318,Convertible,2,Gasoline,789,20.5,RWD,0,250,,,0,0,92,0,448
,2021 Ferrari 812 Superfast,452523,Coupe,2,Gasoline,789,20.2,RWD,0,300,,,0,0,92,0,455
,2021 Ferrari F8 Tributo,322562,Coupe,2,Gasoline,710,16.5,RWD,0,200,,,0,0,78,0,474
,2021 Ferrari F8 Tributo Spider,356989,Convertible,2,Gasoline,710,16.7,RWD,0,200,,,0,0,78,0,468
,2021 Ferrari Portofino,264670,Convertible,4,Gasoline,612,14.4,RWD,0,292,,,,,80,0,556
,2021 Ferrari Roma,251665,Coupe,4,Gasoline,612,14.2,RWD,0,387,,,,,80,0,565
,2022 Ferrari SF90,599341,Coupe,2,Hybrid,986,1.4,4WD,0,,,,0,0,68,7.9,25
,2022 Fiat 500X,32495,SUV,5,Gasoline,177,9.1,AWD,2000,400,39.1,41.5,34.8,52.8,48,0,531
,2022 Ford F-150,34745,Pickup,3,Gasoline,290,11.0,RWD,14000,0,40.8,43.9,0,0,87,0,790
,2022 Ford Escape,29099,SUV,5,Gasoline,180,7.8,FWD,0,953,40,40.7,38.8,56,56,0,718
,2022 Ford Explorer,46199,SUV,6,Gasoline,350,10.3,AWD,5300,515,40.7,43,39,61.9,73,0,709
,2022 Ford Transit,52140,Van,12,Gasoline,275,,RWD,4700,1985,40.8,41.3,33.7,71.4,95,0,
,2022 Ford Ranger,33320,Pickup,4,Gasoline,270,10.9,4WD,7500,0,41,43.1,30.4,55.2,68,0,625
,2022 Ford Edge,37279,SUV,5,Gasoline,250,10.1,AWD,3500,1110,40.2,42.6,40.6,60.5,70,0,693
,2022 Ford Bronco Sport,32999,SUV,5,Gasoline,181,8.9,4WD,0,920,41.5,42.4,36.9,55.6,61,0,685
,2021 Ford Expedition,64340,SUV,8,Gasoline,380,12.6,AWD,9200,593,42,43.9,42.6,64.8,88,0,700
,2022 Ford Mustang,32145,Coupe,4,Gasoline,310,9.5,RWD,0,382,37.6,44.5,29,52.2,59,0,618
,2022 Ford Mustang Mach-E,51495,SUV,5,Electric,266,2.4,RWD,0,840,38.9,41.7,38.1,55.9,0,75.7,370
,2022 Ford Bronco 2-door,41299,SUV,4,Gasoline,275,,4WD,3500,,,,,,,,
,2022 Ford EcoSport,25599,SUV,5,Gasoline,166,9.2,AWD,2000,592,39.6,42.9,36.7,51.3,51,0,559
,2021 Ford Expedition MAX,80815,SUV,8,Gasoline,400,13.1,AWD,9000,1019,42,43.9,42.6,64.8,105,0,802
,2022 Ford F-150 Lightning,68000,Pickup,5,Electric,426,2,4WD,,0,40.8,43.9,43.6,66,0,98,370
,2022 Ford F-250 Super Duty,45619,Pickup,3,Gasoline,385,,RWD,14000,328,40.8,43.9,0,0,130,0,
